,RGDPCAP,CNDOVY,CDOVY,CSOVY,GPDIOVY,INF,OPHNFB,PRS85006023,PRS85006173,CE16OV,CNP16OV,FFR,AAA,BAA,TB3MS,TB10Y,URATE,DTFPU,DTFP,SPNOM,GDPDEF,NOMCD,NOMCND,NOMCS,NOMGPDI,CPTCD,CPTCND,CPTCS,CPTGPDI,RGDP,COMPNFB,CAPUTIL,PIPC,WILL5000INDFC,CREDITCMR,RCCT,RICT
1963.75,18885,22.2,8.5,28.9,16.4,0.81,39.674,116.51,108.815,68213,123360,3.4533,4.3333,4.84,3.4967,4.12,5.5667,-0.21,0.59,73.27333333,18.216,293,763,993,107.189,507,4123,7919,434.727,3771.845,8.439,84.2037,0.971514704,-999,252.154,234.3269724,117.5179464
1964,19233,22.1,8.6,28.8,16.5,0.318,40.029,117.67,107.471,68763,123857,3.4633,4.3767,4.83,3.53,4.18,5.4667,6.27,4.21,77.54666667,18.274,304,778,1010,110.474,525,4181,8020,450.997,3851.366,8.426,84.4956,0.965137713,-999,255.51,238.1725837,121.6724675
1964.25,19401,22.2,8.7,29,16.2,0.24,40.301,117.927,107.6,69218,124386,3.49,4.4067,4.85,3.4767,4.2,5.2,-2.77,1.73,80.3,18.318,310,791,1026,110.518,537,4247,8107,449.373,3893.296,8.52,85.5448,0.96732962,-999,262.379,242.0365346,122.168628
1964.5,19593,22.4,8.9,29,16.3,0.403,40.605,117.676,107.658,69578,124920,3.4567,4.41,4.8233,3.4967,4.19,5,2.98,3.26,82.87666667,18.392,319,806,1041,112.631,553,4314,8185,459.861,3954.121,8.632,86.0569,0.964056501,-999,266.65,245.9146829,124.9789763
1964.75,19593,22.3,8.5,29.3,16.5,0.456,40.242,117.829,109.076,69814,125468,3.5767,4.43,4.81,3.6833,4.17,4.9667,-0.81,-0.69,84.75,18.476,308,808,1056,114.984,534,4307,8269,464.229,3966.335,8.695,86.492,0.965214679,-999,274.195,248.0321849,124.5573532
1965,20021,21.9,9,28.9,17.6,0.502,40.839,118.494,107.556,70439,125985,3.9733,4.42,4.7867,3.89,4.2,4.9,-0.39,6.77,86.56666667,18.569,336,815,1070,126.542,582,4336,8341,508.491,4062.311,8.73,88.866,0.961973068,-999,280.653,250.6658885,136.7156039
1965.25,20240,22,8.9,28.9,17.3,0.446,41.082,118.259,107.489,71025,126499,4.0767,4.4433,4.82,3.8733,4.21,4.6667,1.5,0.42,87.43,18.652,334,829,1088,127.052,581,4366,8444,509.827,4113.629,8.789,89.3981,0.955907514,-999,289.382,253.8401192,136.9807612
1965.5,20582,21.9,8.9,28.7,17.5,0.396,41.819,117.949,106.27,71286,126906,4.0733,4.4967,4.89,3.8667,4.25,4.3667,7.86,5.92,86.92666667,18.726,343,843,1105,131.237,599,4417,8531,527.578,4205.086,8.881,89.9023,0.950425738,-999,294.845,257.4517737,141.3769802
1965.75,20999,22.1,8.9,28.5,17.3,0.676,42.58,118.001,105.545,72062,127294,4.1667,4.6133,4.9667,4.1667,4.47,4.1,2.85,5.5,91.75666667,18.853,354,873,1127,133.752,622,4566,8647,531.072,4301.973,9.012,89.9839,0.951028798,-999,303.783,264.0624461,144.1578196
1966,21464,21.8,9.1,28.1,18.1,0.645,43.175,118.256,105.577,72188,127626,4.5567,4.8133,5.1667,4.61,4.77,3.8667,3.28,6.14,91.63,18.975,369,889,1143,144.2,650,4587,8715,573.502,4406.693,9.168,91.1196,0.939468278,-999,312.599,266.4443781,154.2763986
1966.25,21496,22,8.6,28.4,17.8,0.819,42.913,117.91,106.789,72775,127983,4.9133,5.0033,5.49,4.5867,4.78,3.8333,-1.89,-2.51,88.14666667,19.131,355,903,1163,143.501,623,4619,8787,565.012,4421.747,9.314,91.5667,0.94205127,-999,324.504,269.1823735,150.1903429
1966.5,21583,21.9,8.8,28.4,17.4,0.968,42.979,117.462,107.344,73258,128359,5.41,5.32,5.8667,5.0433,5.14,3.7667,0.52,-1.17,81.43333333,19.317,367,913,1179,143.194,641,4638,8832,560.844,4459.195,9.447,91.2437,0.936030759,-999,330.306,271.2821111,151.5377941
1966.75,21701,21.6,8.7,28.5,17.5,0.845,43.273,116.921,106.82,73729,128730,5.5633,5.3833,6.1367,5.21,5,3.7,3.85,1.09,79.81666667,19.481,368,913,1200,145.855,639,4611,8901,564.131,4495.777,9.575,90.5907,0.936786425,-999,338.204,272.6293578,152.2406555
1967,21847,21.6,8.4,28.6,16.9,0.415,43.637,116.304,106.84,73439,129190,4.8233,5.12,5.88,4.5133,4.58,3.8333,7.82,0.52,87.07666667,19.562,359,921,1217,142.811,625,4651,8961,550.286,4535.591,9.705,88.5845,0.935108346,-999,345.762,275.369388,148.7649601
1967.25,21812,21.6,8.8,28.9,16.2,0.505,43.817,115.556,107.538,74278,129722,3.99,5.2633,5.98,3.66,4.82,3.8333,4.54,1.6,91.66,19.661,375,927,1234,137.495,651,4674,9025,530.378,4538.37,9.863,86.7784,0.934637366,-999,356.547,277.7755166,146.784912
1967.5,21939,21.4,8.6,29,16.5,0.952,43.996,115.447,107.628,74854,130392,3.8933,5.6167,6.33,4.3,5.25,3.8,-1.85,0.2,94.43666667,19.849,375,933,1257,142.835,644,4657,9123,545.93,4581.309,9.996,85.9545,0.933263171,-999,362.381,279.8293829,149.5123295
1967.75,22053,21.3,8.6,28.9,16.7,1.092,44.153,115.394,107.677,75473,130936,4.1733,6.0267,6.7233,4.7533,5.64,3.9,3.74,1.01,94.54,20.067,379,941,1276,147.653,643,4665,9174,557.706,4615.853,10.132,87.3031,0.935724688,-999,370.855,281.7011428,151.8014132
